ID,Disease Name,Category,Symptom Description,Leaf Color,Spots Present,Humidity (%),Temperature (°C),Soil pH,Cause
1,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,72.3,24.5,6.9,Chemical
2,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,70.7,24.4,6.9,Fungus
3,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,63.2,15.2,6.5,Chemical
4,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,43.3,16.7,7.0,Environmental
5,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,80.0,33.6,5.0,Environmental
6,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,61.4,25.3,7.1,Deficiency
7,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,55.9,16.7,5.4,Fungus
8,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,42.9,32.0,5.9,Fungus
9,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,50.8,30.5,5.7,Bacteria
10,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,51.2,22.5,4.6,Fungus
11,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,83.8,34.0,6.7,Bacteria
12,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,83.3,33.5,5.1,Virus
13,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,46.2,34.7,6.4,Fungus
14,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,40.3,18.1,4.6,Bacteria
15,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,55.9,16.5,5.2,Environmental
16,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,74.2,16.7,6.6,Bacteria
17,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,61.8,18.2,7.4,Deficiency
18,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,75.0,24.2,7.3,Deficiency
19,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,75.6,34.8,5.0,Deficiency
20,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,49.6,16.7,4.5,Fungus
21,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,41.6,28.9,7.1,Fungus
22,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,60.1,21.3,4.5,Chemical
23,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,83.4,26.8,5.1,Environmental
24,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,75.3,24.0,6.2,Fungus
25,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,69.1,19.3,4.9,Environmental
26,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,51.1,20.2,5.9,Virus
27,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,83.7,33.0,4.6,Fungus
28,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,48.6,20.2,4.7,Virus
29,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,63.6,32.3,6.5,Deficiency
30,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,63.5,29.2,6.1,Virus
31,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,58.8,30.4,6.8,Bacteria
32,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,83.2,24.1,6.9,Environmental
33,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,89.0,18.0,6.3,Fungus
34,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,44.5,27.8,7.0,Environmental
35,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,64.9,25.4,6.8,Fungus
36,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,75.4,25.0,7.0,Bacteria
37,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,64.5,28.2,5.8,Bacteria
38,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,44.7,22.8,6.1,Fungus
39,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,80.7,27.2,6.9,Environmental
40,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,72.7,29.8,7.3,Fungus
41,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,69.9,20.5,5.5,Virus
42,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,79.4,31.7,4.7,Fungus
43,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,77.8,28.3,5.6,Fungus
44,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,76.2,21.1,5.4,Chemical
45,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,44.1,28.7,5.5,Deficiency
46,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,58.8,33.2,5.7,Virus
47,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,41.4,21.2,5.0,Environmental
48,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,59.2,35.0,4.6,Deficiency
49,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,83.0,16.7,7.3,Fungus
50,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,82.6,34.0,4.9,Deficiency
